# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.2087, nan, nan
4, 0.3688, nan, nan
5, 0.4275, nan, nan
6, 0.4513, nan, nan
7, 0.5067, nan, nan
8, 0.5111, nan, nan
9, 0.5417, nan, nan
10, 0.5631, nan, nan
11, 0.5747, nan, nan
12, 0.5929, nan, nan
13, 0.6022, nan, nan
14, 0.6192, nan, nan
15, 0.6393, nan, nan
16, 0.6451, nan, nan
17, 0.6595, nan, nan
18, 0.6647, nan, nan
19, 0.6589, nan, nan
20, 0.6721, nan, nan
21, 0.6859, nan, nan
22, 0.6907, nan, nan
23, 0.6856, nan, nan
24, 0.6881, nan, nan
25, 0.6959, nan, nan
26, 0.7077, nan, nan
27, 0.7061, nan, nan
28, 0.6910, nan, nan
29, 0.7074, nan, nan
30, 0.7048, nan, nan
31, 0.7174, nan, nan
32, 0.7062, nan, nan
33, 0.7154, nan, nan
34, 0.7089, nan, nan
35, 0.7287, nan, nan
36, 0.7155, nan, nan
37, 0.7265, nan, nan
38, 0.7181, nan, nan
39, 0.7280, nan, nan
40, 0.7270, nan, nan
41, 0.7389, nan, nan
42, 0.7343, nan, nan
43, 0.7272, nan, nan
44, 0.7384, nan, nan
45, 0.7461, nan, nan
46, 0.7341, nan, nan
47, 0.7361, nan, nan
48, 0.7373, nan, nan
49, 0.7219, nan, nan
50, 0.7434, nan, nan
51, 0.7439, nan, nan
52, 0.7324, nan, nan
53, 0.7397, nan, nan
54, 0.7437, nan, nan
55, 0.7379, nan, nan
56, 0.7442, nan, nan
57, 0.7348, nan, nan
58, 0.7525, nan, nan
59, 0.7521, nan, nan
60, 0.7452, nan, nan
61, 0.7445, nan, nan
62, 0.7506, nan, nan
63, 0.7503, nan, nan
64, 0.7499, nan, nan
65, 0.7470, nan, nan
66, 0.7385, nan, nan
67, 0.7576, nan, nan
68, 0.7517, nan, nan
69, 0.7551, nan, nan
70, 0.7490, nan, nan
71, 0.7517, nan, nan
72, 0.7567, nan, nan
73, 0.7365, nan, nan
74, 0.7446, nan, nan
75, 0.7410, nan, nan
76, 0.7617, nan, nan
77, 0.7308, nan, nan
78, 0.7682, nan, nan
79, 0.7570, nan, nan
80, 0.7502, nan, nan
81, 0.7579, nan, nan
82, 0.7422, nan, nan
83, 0.7564, nan, nan
84, 0.7514, nan, nan
85, 0.7620, nan, nan
86, 0.7493, nan, nan
87, 0.7642, nan, nan
88, 0.7570, nan, nan
89, 0.7634, nan, nan
90, 0.7587, nan, nan
91, 0.7588, nan, nan
92, 0.7544, nan, nan
93, 0.7628, nan, nan
94, 0.7552, nan, nan
95, 0.7614, nan, nan
96, 0.7534, nan, nan
97, 0.7543, nan, nan
98, 0.7682, nan, nan
99, 0.7670, nan, nan
100, 0.7580, nan, nan
101, 0.7719, nan, nan
102, 0.7593, nan, nan
103, 0.7619, nan, nan
104, 0.7638, nan, nan
105, 0.7606, nan, nan
106, 0.7574, nan, nan
107, 0.7483, nan, nan
108, 0.7614, nan, nan
109, 0.7450, nan, nan
110, 0.7574, nan, nan
111, 0.7628, nan, nan
112, 0.7611, nan, nan
113, 0.7574, nan, nan
114, 0.7629, nan, nan
115, 0.7702, nan, nan
116, 0.7660, nan, nan
117, 0.7705, nan, nan
118, 0.7507, nan, nan
119, 0.7623, nan, nan
120, 0.7582, nan, nan
121, 0.7625, nan, nan
122, 0.7575, nan, nan
123, 0.7505, nan, nan
124, 0.7585, nan, nan
125, 0.7590, nan, nan
126, 0.7692, nan, nan
127, 0.7624, nan, nan
128, 0.7613, nan, nan
129, 0.7601, nan, nan
130, 0.7530, nan, nan
131, 0.7673, nan, nan
132, 0.7637, nan, nan
133, 0.7715, nan, nan
134, 0.7600, nan, nan
135, 0.7684, nan, nan
136, 0.7610, nan, nan
137, 0.7596, nan, nan
138, 0.7646, nan, nan
139, 0.7644, nan, nan
140, 0.7626, nan, nan
141, 0.7600, nan, nan
142, 0.7595, nan, nan
143, 0.7632, nan, nan
144, 0.7652, nan, nan
145, 0.7652, nan, nan
146, 0.7613, nan, nan
147, 0.7614, nan, nan
148, 0.7521, nan, nan
149, 0.7634, nan, nan
150, 0.7692, nan, nan
151, 0.7619, nan, nan
152, 0.7655, nan, nan
153, 0.7666, nan, nan
154, 0.7687, nan, nan
155, 0.7587, nan, nan
156, 0.7633, nan, nan
157, 0.7663, nan, nan
158, 0.7722, nan, nan
159, 0.7601, nan, nan
160, 0.7703, nan, nan
161, 0.7594, nan, nan
162, 0.7625, nan, nan
163, 0.7607, nan, nan
164, 0.7687, nan, nan
165, 0.7691, nan, nan
166, 0.7709, nan, nan
167, 0.7632, nan, nan
168, 0.7702, nan, nan
169, 0.7677, nan, nan
170, 0.7639, nan, nan
171, 0.7539, nan, nan
172, 0.7521, nan, nan
173, 0.7533, nan, nan
174, 0.7681, nan, nan
175, 0.7643, nan, nan
176, 0.7653, nan, nan
177, 0.7696, nan, nan
178, 0.7697, nan, nan
179, 0.7769, nan, nan
180, 0.7658, nan, nan
181, 0.7587, nan, nan
182, 0.7687, nan, nan
183, 0.7685, nan, nan
184, 0.7688, nan, nan
185, 0.7693, nan, nan
186, 0.7591, nan, nan
187, 0.7702, nan, nan
188, 0.7696, nan, nan
189, 0.7620, nan, nan
190, 0.7592, nan, nan
191, 0.7677, nan, nan
192, 0.7584, nan, nan
193, 0.7665, nan, nan
194, 0.7664, nan, nan
195, 0.7652, nan, nan
196, 0.7647, nan, nan
197, 0.7663, nan, nan
198, 0.7689, nan, nan
199, 0.7706, nan, nan
200, 0.7722, nan, nan
