# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=LabelFlipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1680, nan, nan
4, 0.2596, nan, nan
5, 0.3171, nan, nan
6, 0.3526, nan, nan
7, 0.2740, nan, nan
8, 0.3238, nan, nan
9, 0.2683, nan, nan
10, 0.4013, nan, nan
11, 0.2705, 1.0000, 0.2000
12, 0.5014, 0.8000, 0.0000
13, 0.1551, 0.8000, 0.6000
14, 0.5883, 0.4000, 0.2000
15, 0.0910, 1.0000, 0.4000
16, 0.6042, 0.6000, 0.0000
17, 0.0581, 1.0000, 0.4000
18, 0.6441, 0.6000, 0.2000
19, 0.0840, 0.8000, 0.2000
20, 0.6153, 0.8000, 0.2000
21, 0.6452, 0.4000, 0.2000
22, 0.0891, 0.8000, 0.4000
23, 0.6137, 0.8000, 0.2000
24, 0.3675, 0.8000, 0.2000
25, 0.0778, 0.6000, 0.2000
26, 0.7012, 0.6000, 0.2000
27, 0.0914, 0.6000, 0.6000
28, 0.0780, 0.8000, 0.6000
29, 0.6867, 0.6000, 0.4000
30, 0.0619, 0.8000, 0.4000
31, 0.6806, 0.8000, 0.4000
32, 0.2457, 0.6000, 0.2000
33, 0.7191, 0.6000, 0.2000
34, 0.0802, 0.6000, 0.4000
35, 0.0497, 0.6000, 0.6000
36, 0.6616, 0.8000, 0.6000
37, 0.6856, 0.4000, 0.4000
38, 0.4952, 0.6000, 0.2000
39, 0.0474, 0.8000, 0.2000
40, 0.7093, 0.6000, 0.2000
41, 0.7260, 0.4000, 0.2000
42, 0.0550, 0.4000, 0.4000
43, 0.0447, 0.6000, 0.4000
44, 0.7116, 0.6000, 0.2000
45, 0.3872, 0.6000, 0.0000
46, 0.0521, 0.8000, 0.6000
47, 0.7210, 0.4000, 0.2000
48, 0.0557, 0.8000, 0.4000
49, 0.0588, 0.4000, 0.2000
50, 0.7226, 0.6000, 0.2000
51, 0.7038, 0.4000, 0.4000
52, 0.7094, 0.4000, 0.4000
53, 0.0468, 0.6000, 0.4000
54, 0.0501, 0.4000, 0.4000
55, 0.7200, 0.4000, 0.2000
56, 0.7118, 0.4000, 0.2000
57, 0.0484, 0.6000, 0.2000
58, 0.7080, 0.4000, 0.4000
59, 0.0402, 0.8000, 0.2000
60, 0.7412, 0.6000, 0.2000
61, 0.0436, 1.0000, 0.2000
62, 0.7123, 0.6000, 0.4000
63, 0.3073, 0.4000, 0.2000
64, 0.4518, 0.4000, 0.2000
65, 0.4399, 0.6000, 0.6000
66, 0.7001, 0.8000, 0.6000
67, 0.7340, 0.4000, 0.2000
68, 0.0441, 0.8000, 0.4000
69, 0.0720, 0.4000, 0.4000
70, 0.7350, 0.8000, 0.2000
71, 0.6655, 0.4000, 0.2000
72, 0.7339, 0.4000, 0.4000
73, 0.3341, 0.6000, 0.4000
74, 0.3834, 0.8000, 0.6000
75, 0.0498, 0.4000, 0.0000
76, 0.0479, 0.6000, 0.6000
77, 0.0372, 0.8000, 0.6000
78, 0.7352, 0.8000, 0.2000
79, 0.7516, 0.4000, 0.0000
80, 0.5850, 0.6000, 0.0000
81, 0.0402, 0.8000, 0.6000
82, 0.7095, 0.6000, 0.2000
83, 0.6939, 0.4000, 0.4000
84, 0.7198, 0.6000, 0.4000
85, 0.0371, 0.8000, 0.6000
86, 0.7196, 0.6000, 0.4000
87, 0.7357, 0.4000, 0.4000
88, 0.0464, 0.6000, 0.4000
89, 0.7283, 0.2000, 0.2000
90, 0.7378, 0.4000, 0.4000
91, 0.0440, 0.4000, 0.4000
92, 0.3218, 0.6000, 0.4000
93, 0.0439, 0.6000, 0.6000
94, 0.7155, 0.6000, 0.2000
95, 0.3405, 0.6000, 0.2000
96, 0.0445, 1.0000, 0.2000
97, 0.5065, 0.6000, 0.0000
98, 0.7466, 0.2000, 0.2000
99, 0.0390, 1.0000, 0.6000
100, 0.5973, 0.4000, 0.4000
101, 0.0400, 0.6000, 0.2000
102, 0.0388, 0.6000, 0.4000
103, 0.7334, 0.6000, 0.4000
104, 0.6717, 0.6000, 0.6000
105, 0.0528, 0.6000, 0.2000
106, 0.0413, 0.8000, 0.6000
107, 0.0458, 0.6000, 0.6000
108, 0.3748, 0.6000, 0.4000
109, 0.0398, 0.8000, 0.6000
110, 0.6984, 0.6000, 0.6000
111, 0.6528, 0.4000, 0.2000
112, 0.6906, 0.6000, 0.4000
113, 0.7189, 0.6000, 0.4000
114, 0.0380, 1.0000, 0.6000
115, 0.7522, 0.6000, 0.0000
116, 0.0648, 0.6000, 0.0000
117, 0.6940, 0.6000, 0.2000
118, 0.0407, 0.6000, 0.4000
119, 0.5763, 0.6000, 0.2000
120, 0.0491, 0.8000, 0.6000
121, 0.0566, 0.8000, 0.4000
122, 0.7258, 0.6000, 0.4000
123, 0.6896, 0.6000, 0.4000
124, 0.3954, 0.6000, 0.2000
125, 0.6708, 0.6000, 0.0000
126, 0.0515, 0.8000, 0.4000
127, 0.7349, 0.4000, 0.2000
128, 0.1482, 0.4000, 0.2000
129, 0.7565, 0.8000, 0.2000
130, 0.0378, 0.6000, 0.4000
131, 0.7343, 0.8000, 0.0000
132, 0.0473, 0.6000, 0.2000
133, 0.0645, 0.4000, 0.4000
134, 0.0605, 0.8000, 0.2000
135, 0.3110, 0.8000, 0.4000
136, 0.7333, 0.6000, 0.2000
137, 0.0498, 0.6000, 0.2000
138, 0.5229, 0.6000, 0.2000
139, 0.6781, 0.8000, 0.0000
140, 0.7472, 0.2000, 0.2000
141, 0.6710, 0.4000, 0.0000
142, 0.7557, 0.4000, 0.2000
143, 0.0730, 0.4000, 0.4000
144, 0.0379, 0.8000, 0.4000
145, 0.7427, 0.4000, 0.0000
146, 0.5244, 0.4000, 0.4000
147, 0.0411, 0.6000, 0.4000
148, 0.7189, 0.4000, 0.4000
149, 0.0602, 0.6000, 0.6000
150, 0.0396, 0.8000, 0.4000
151, 0.7536, 0.6000, 0.2000
152, 0.0627, 0.6000, 0.4000
