# use_svdd=True
# num_clients=10, num_benign=5, num_malicious=5
# attack_type=label_flipping
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1131, nan, nan
3, 0.1360, nan, nan
4, 0.2601, nan, nan
5, 0.2359, nan, nan
6, 0.2952, nan, nan
7, 0.2986, nan, nan
8, 0.2678, nan, nan
9, 0.3283, nan, nan
10, 0.2265, nan, nan
11, 0.5542, 0.6000, 0.2000
12, 0.1078, 1.0000, 0.0000
13, 0.4977, 0.8000, 0.2000
14, 0.2107, 0.8000, 0.2000
15, 0.6221, 0.8000, 0.0000
16, 0.1055, 0.6000, 0.4000
17, 0.2179, 1.0000, 0.2000
18, 0.0711, 1.0000, 0.2000
19, 0.6241, 0.8000, 0.0000
20, 0.0926, 1.0000, 0.0000
21, 0.0620, 1.0000, 0.4000
22, 0.6838, 0.4000, 0.2000
23, 0.1329, 0.6000, 0.2000
24, 0.6766, 0.8000, 0.0000
25, 0.0551, 0.8000, 0.4000
26, 0.1594, 0.6000, 0.6000
27, 0.3524, 0.6000, 0.4000
28, 0.6171, 0.6000, 0.2000
29, 0.6964, 0.4000, 0.0000
30, 0.2075, 0.6000, 0.2000
31, 0.7190, 0.4000, 0.2000
32, 0.1695, 0.6000, 0.2000
33, 0.5494, 0.8000, 0.2000
34, 0.1454, 0.6000, 0.4000
35, 0.0700, 0.8000, 0.4000
