# use_svdd=True
# num_clients=10, num_benign=8, num_malicious=2
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=200
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1000, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1104, nan, nan
5, 0.1191, nan, nan
6, 0.2416, nan, nan
7, 0.3143, nan, nan
8, 0.3078, nan, nan
9, 0.3223, nan, nan
10, 0.3742, nan, nan
11, 0.3135, nan, nan
12, 0.4004, nan, nan
13, 0.2776, nan, nan
14, 0.3287, nan, nan
15, 0.4181, nan, nan
16, 0.3995, nan, nan
17, 0.4250, nan, nan
18, 0.3842, nan, nan
19, 0.4725, nan, nan
20, 0.4799, nan, nan
21, 0.3958, nan, nan
22, 0.4521, nan, nan
23, 0.4574, nan, nan
24, 0.5141, nan, nan
25, 0.4932, nan, nan
26, 0.4412, nan, nan
27, 0.4836, nan, nan
28, 0.5425, nan, nan
29, 0.5242, nan, nan
30, 0.4906, nan, nan
31, 0.5077, nan, nan
32, 0.5524, nan, nan
33, 0.5357, nan, nan
34, 0.5557, nan, nan
35, 0.5425, nan, nan
36, 0.4479, nan, nan
37, 0.5012, nan, nan
38, 0.5409, nan, nan
39, 0.5380, nan, nan
40, 0.5187, nan, nan
41, 0.5663, nan, nan
42, 0.5254, nan, nan
43, 0.5671, nan, nan
44, 0.5507, nan, nan
45, 0.5444, nan, nan
46, 0.5777, nan, nan
47, 0.5702, nan, nan
48, 0.5323, nan, nan
49, 0.5255, nan, nan
50, 0.5550, nan, nan
51, 0.1000, 1.0000, 0.2500
52, 0.5386, 1.0000, 0.0000
53, 0.6058, 0.5000, 0.0000
54, 0.6010, 1.0000, 0.0000
55, 0.5361, 1.0000, 0.1250
56, 0.3588, 1.0000, 0.3750
57, 0.5458, 1.0000, 0.0000
58, 0.5358, 1.0000, 0.0000
59, 0.5395, 1.0000, 0.0000
60, 0.5180, 1.0000, 0.1250
61, 0.5529, 1.0000, 0.0000
62, 0.4785, 1.0000, 0.2500
63, 0.5276, 1.0000, 0.0000
64, 0.5010, 1.0000, 0.2500
65, 0.5229, 1.0000, 0.1250
66, 0.5242, 1.0000, 0.1250
67, 0.3953, 1.0000, 0.3750
68, 0.5248, 1.0000, 0.1250
69, 0.6346, 0.0000, 0.0000
70, 0.5841, 1.0000, 0.0000
71, 0.6314, 0.0000, 0.3750
72, 0.5386, 1.0000, 0.0000
73, 0.1000, 1.0000, 0.0000
74, 0.5629, 0.5000, 0.2500
75, 0.1000, 1.0000, 0.1250
76, 0.5509, 1.0000, 0.1250
77, 0.6027, 0.5000, 0.0000
78, 0.5303, 1.0000, 0.1250
79, 0.5384, 1.0000, 0.1250
