# use_svdd=True
# num_clients=10, num_benign=7, num_malicious=3
# attack_type=gaussian_noise
# latent_dim=128
# total_rounds=300
# round, test_acc, attack_success_rate, false_positive_rate
1, 0.1039, nan, nan
2, 0.1000, nan, nan
3, 0.1000, nan, nan
4, 0.1101, nan, nan
5, 0.1112, nan, nan
6, 0.1292, nan, nan
7, 0.1360, nan, nan
8, 0.2168, nan, nan
9, 0.2310, nan, nan
10, 0.1690, nan, nan
11, 0.1786, nan, nan
12, 0.2555, nan, nan
13, 0.1835, nan, nan
14, 0.2195, nan, nan
15, 0.3036, nan, nan
16, 0.3148, nan, nan
17, 0.2294, nan, nan
18, 0.2072, nan, nan
19, 0.2779, nan, nan
20, 0.2505, nan, nan
21, 0.3205, nan, nan
22, 0.3406, nan, nan
23, 0.3049, nan, nan
24, 0.3160, nan, nan
25, 0.2635, nan, nan
26, 0.3353, nan, nan
27, 0.2820, nan, nan
28, 0.2481, nan, nan
29, 0.3379, nan, nan
30, 0.3754, nan, nan
31, 0.2757, nan, nan
32, 0.3155, nan, nan
33, 0.3320, nan, nan
34, 0.3223, nan, nan
35, 0.3501, nan, nan
36, 0.3232, nan, nan
37, 0.3296, nan, nan
38, 0.3323, nan, nan
39, 0.3113, nan, nan
40, 0.4230, nan, nan
41, 0.3531, nan, nan
42, 0.3299, nan, nan
43, 0.3873, nan, nan
44, 0.3102, nan, nan
45, 0.3252, nan, nan
46, 0.3671, nan, nan
47, 0.4205, nan, nan
48, 0.3658, nan, nan
49, 0.3335, nan, nan
50, 0.3802, nan, nan
51, 0.1770, 1.0000, 0.1429
52, 0.3942, 1.0000, 0.0000
53, 0.1071, 1.0000, 0.5714
54, 0.2593, 1.0000, 0.1429
55, 0.3521, 1.0000, 0.0000
56, 0.2889, 1.0000, 0.0000
57, 0.5494, 0.0000, 0.1429
58, 0.5796, 0.0000, 0.0000
59, 0.5773, 0.0000, 0.0000
60, 0.6108, 0.0000, 0.0000
61, 0.6110, 0.0000, 0.0000
62, 0.4199, 1.0000, 0.0000
63, 0.5992, 0.0000, 0.0000
64, 0.3318, 1.0000, 0.0000
65, 0.6066, 0.0000, 0.0000
66, 0.2950, 1.0000, 0.1429
67, 0.5897, 0.0000, 0.0000
68, 0.4870, 1.0000, 0.0000
69, 0.6156, 0.0000, 0.0000
70, 0.4113, 1.0000, 0.0000
71, 0.6084, 0.0000, 0.0000
72, 0.3838, 1.0000, 0.1429
73, 0.6012, 0.0000, 0.0000
74, 0.3883, 1.0000, 0.0000
75, 0.6067, 0.0000, 0.0000
76, 0.2928, 1.0000, 0.1429
77, 0.6136, 0.0000, 0.0000
78, 0.3294, 1.0000, 0.0000
79, 0.6057, 0.0000, 0.0000
80, 0.3311, 1.0000, 0.1429
81, 0.6011, 0.0000, 0.0000
82, 0.1000, 1.0000, 0.1429
83, 0.6204, 0.0000, 0.0000
84, 0.1000, 1.0000, 0.1429
85, 0.6019, 0.0000, 0.0000
86, 0.3614, 1.0000, 0.1429
87, 0.5553, 0.3333, 0.0000
88, 0.6285, 0.0000, 0.1429
89, 0.1000, 1.0000, 0.4286
90, 0.1674, 1.0000, 0.2857
91, 0.1550, 1.0000, 0.2857
92, 0.1327, 1.0000, 0.2857
93, 0.1745, 1.0000, 0.1429
94, 0.2303, 1.0000, 0.2857
95, 0.3495, 1.0000, 0.1429
96, 0.2991, 1.0000, 0.1429
97, 0.2331, 1.0000, 0.2857
98, 0.2466, 1.0000, 0.2857
99, 0.2099, 1.0000, 0.2857
100, 0.2098, 1.0000, 0.1429
101, 0.1578, 1.0000, 0.4286
102, 0.1716, 1.0000, 0.2857
